,valid,unique,novel
0,911.0,909.0,901.0
1,916.0,913.0,911.0
2,908.0,908.0,906.0
3,892.0,891.0,890.0
4,882.0,878.0,874.0
5,856.0,850.0,849.0
6,801.0,792.0,791.0
7,731.0,717.0,715.0
8,649.0,642.0,640.0
9,590.0,570.0,568.0
10,557.0,541.0,538.0
11,451.0,436.0,433.0
12,460.0,432.0,429.0
13,436.0,410.0,408.0
14,404.0,372.0,368.0
15,363.0,330.0,326.0
16,312.0,273.0,270.0
17,311.0,267.0,264.0
18,291.0,234.0,229.0
19,290.0,226.0,220.0
20,296.0,208.0,204.0
21,278.0,188.0,184.0
22,301.0,191.0,186.0
23,310.0,173.0,168.0
24,334.0,189.0,186.0
